Country,Code,Region,Population,GDP_billions,Land_Area,New_Cases
Mongolia,MNG,Asia/Pacific,3255468,15.28644182,599833,0
Montenegro,MNE,Europe,602445,5.861268039,5193,0
Morocco,MAR,Middle East,37067420,142.8663292,172317,14
Mozambique,MOZ,Africa,32513805,15.77675863,303623,2608
Myanmar,MMR,Asia/Pacific,57333000,62.26,261228,1234
Namibia,NAM,Africa,2777232,12.31059584,317874,34
Nauru,NRU,Asia/Pacific,9852,0.133218897,8,
Nepal,NPL,Asia/Pacific,30899443,36.28883037,55348,2285
Netherlands,NLD,Europe,17463930,1012.846761,13019,1
New Zealand,NZL,Asia/Pacific,5109702,249.885687,101665,4
Nicaragua,NIC,Americas,6359689,14.01302209,46464,4
Niger,NER,Africa,25396840,14.91500143,489075,371
Nigeria,NGA,Africa,230842743,440.833584,351650,2393
Niue,NIU,Asia/Pacific,2000,,100,0
Norway,NOR,Europe,5597924,482.1748545,141031,1
Oman,OMN,Middle East,3833465,88.19197737,119499,0
Pakistan,PAK,Middle East,247653551,348.2625447,297638,259
Palau,PLW,Asia/Pacific,21779,0.2178,178,1
Panama,PAN,Americas,4404108,63.6051,28703,7
Papua New Guinea,PNG,Asia/Pacific,9819350,26.59430575,174850,495
Paraguay,PRY,Americas,7439863,39.49543157,153398,256
Peru,PER,Americas,32440172,223.2494975,494211,27
Philippines,PHL,Asia/Pacific,116434200,394.0864012,115124,1005
Poland,POL,Europe,37991766,679.4448329,118236,
Portugal,PRT,Europe,10223150,253.6631446,35363,
Qatar,QAT,Middle East,2532104,179.6772118,4483,17
Republic of Korea,KOR,Asia/Pacific,51966948,1810.955871,37541,2
Romania,ROU,Europe,18326327,284.0875637,88869,
Russia,RUS,Europe,141698923,1778.782626,6323142,
Rwanda,RWA,Africa,13400541,11.07035652,9525,24
Saint Kitts and Nevis,KNA,Americas,54817,0.860840741,100,0
Saint Lucia,LCA,Americas,167591,1.691275157,236,11
Saint Vincent and the Grenadines,VCT,Americas,100804,0.904181493,151,0
Samoa,WSM,Asia/Pacific,207501,0.843842416,1093,
San Marino,SMR,Europe,34892,,23,0
Sao Tome and Principe,STP,Africa,220372,0.526653791,371,0
